n,game_id,HomeTeam,AwayTeam,HomeScore,AwayScore,Home_xG,Away_xG,Home_shots,Away_shots,Home_corner,Away_corner,Home_PK_Goal,Away_PK_Goal,Home_PK_shots,Away_PK_shots,Home_ToP,TeamA_shotQuality,TeamB_shotQuality,TeamA_efficiency,TeamB_efficiency,TeamA_shotsToGoalsConversion,TeamB_shotsToGoalsConversion,TeamA_qualityOfPossession,TeamB_qualityOfPossession,TeamA_totalGoalsFor,TeamB_totalGoalsFor,TeamA_avgTimePossession,TeamB_avgTimePossession,TeamA_avgxG,TeamB_avgxG,TeamA_avgxGagainst,TeamB_avgxGagainst,TeamA_defEfficiency,TeamB_defEfficiency,TeamA_totalGoalsAgainst,TeamB_totalGoalsAgainst,TeamA_totalShotsAgainst,TeamB_totalShotsAgainst,TeamA_goalDifferential,TeamB_goalDifferential
1,game_2023_1,PRO,MAN,1,1,1.63,0.34,17,8,5,4,0,0,0,0,0.53,0.142585531070856,0.313397143954351,0.131423538405976,0.689686592918579,0.883786867224716,0.379593703627665,0.458309759699621,0.42837148390396,0.896551724137931,0.379310344827586,0.335511982570806,0.503267973856209,0.332773109243698,0.415126050420168,0.440934065934066,0.237179487179488,0.218873791712534,0.18370676960206,0.205882352941176,0.382352941176471,0.835714285714286,0.542857142857143,0.916666666666667,0.479166666666667
2,game_2023_2,FOR,LEX,1,0,0.98,0.9,9,11,5,2,0,0,0,0,0.57,1.0,0.294203728647082,1.0,0.725373218884525,0.691560655382254,0.329672883333663,0.060199644137893,0.809037778033173,0.517241379310345,0.413793103448276,0.910675381263615,0.200435729847494,0.824089635854342,0.503641456582633,0.72985347985348,0.649267399267399,0.443854489062318,0.386439854389985,0.676470588235294,0.147058823529412,1.0,0.95,0.354166666666667,0.666666666666667
3,game_2023_3,SJU,DES,1,2,1.23,1.11,16,9,6,7,0,0,0,0,0.47,0.249700841341583,0.279935230979336,0.905336841357923,0.29816381400806,0.148691448574762,0.796126484273434,0.380988633170811,0.0705744767440761,0.0,0.586206896551724,0.285403050108932,0.758169934640522,0.174229691876751,0.150140056022409,0.643315018315019,0.183150183150183,0.908708681025879,0.253880983182406,0.735294117647059,0.352941176470588,0.378571428571429,0.371428571428571,0.0,0.625
4,game_2023_4,FAR,ANC,0,1,2.27,1.08,4,14,8,3,0,0,0,0,0.51,0.796547148511553,0.469224306597343,0.55960761757585,0.736454473708852,1.0,0.481491009656465,0.400218581745265,0.7266495916312,1.0,0.724137931034483,0.660130718954248,0.400871459694989,1.0,0.92717086834734,0.0810439560439559,0.167582417582417,0.106827842274156,0.384319798628673,0.176470588235294,0.088235294117647,0.371428571428571,0.207142857142857,1.0,0.895833333333333
5,game_2023_5,DOV,BAK,0,0,1.9,0.56,17,6,5,3,0,0,0,0,0.53,0.297557210782622,0.23840648707891,0.550210590676536,0.745151014337419,0.501869450945742,0.261356334719516,1.0,0.749181667147452,0.793103448275862,0.275862068965517,0.13507625272331,0.217864923747277,0.782072829131654,0.345098039215687,0.0,0.399267399267399,0.328796683137871,0.145908953432375,0.588235294117647,0.323529411764706,0.0,0.864285714285714,0.583333333333333,0.458333333333333
6,game_2023_6,ALB,LAR,1,1,0.62,0.78,11,17,9,4,0,0,0,0,0.54,0.39200440805192,0.405192109985864,0.519355407497304,0.518452627777258,0.633844957065494,0.64865755137818,0.464060606079411,0.305302378740333,0.551724137931035,0.517241379310345,0.357298474945534,0.577342047930282,0.36638655462185,0.456022408963586,0.512820512820513,0.0068681318681318,0.395080968334526,0.0,0.794117647058824,0.382352941176471,0.728571428571429,0.371428571428571,0.291666666666667,0.5625
7,game_2023_7,SAS,MOB,0,0,0.75,0.38,14,12,7,6,0,0,0,0,0.44,0.121748313236144,0.283240732138344,0.436144021577213,0.780875366691122,0.439138528678609,0.272733512626436,0.546453040500561,0.0,0.551724137931035,0.0,0.494553376906319,0.607843137254901,0.473949579831933,0.100280112044819,0.133699633699634,0.681318681318681,0.0427675398948521,0.599035652355132,0.235294117647059,0.352941176470588,0.542857142857143,0.742857142857143,0.6875,0.270833333333333
8,game_2023_8,CHM,EUG,0,0,1.54,1.18,11,3,8,0,0,0,0,0,0.57,0.0,0.0736094343804694,0.806760390053371,0.44220648876546,0.0,0.379832657733635,0.384932177530867,0.748325755349758,0.0344827586206896,0.275862068965517,0.67755991285403,0.0,0.2593837535014,0.0,0.496336996336996,0.661630036630037,0.446709634694757,0.685182420080427,0.0294117647058823,0.441176470588235,0.642857142857143,0.621428571428571,0.520833333333333,0.375
9,game_2023_9,TOL,JAC,1,2,1.2,1.2,17,20,6,4,0,0,0,0,0.49,0.124204228897042,0.523648959926068,0.373346352947471,0.714363072881088,0.514045213920212,0.553497616834444,0.45560323715552,0.251752609759691,0.517241379310345,0.655172413793103,0.553376906318083,0.882352941176469,0.309803921568627,0.761344537815127,0.443223443223443,0.150641025641026,0.288363210743547,0.232189840519893,0.352941176470588,0.0,0.75,0.342857142857143,0.583333333333333,0.916666666666667
10,game_2023_10,REN,OAK,1,1,0.7,0.17,7,7,4,6,0,0,0,0,0.57,0.224962223665508,0.209834197560421,0.60617608110139,0.426057792980839,0.372213484856172,0.547658091493348,0.341062682414029,0.597764579041982,0.413793103448276,0.551724137931035,0.734204793028321,0.261437908496732,0.487394957983194,0.373109243697479,0.198717948717948,0.0329670329670323,0.137048030571805,0.0088485367998727,0.205882352941176,0.294117647058824,0.535714285714286,0.407142857142857,0.625,0.645833333333333
11,game_2023_11,SFS,AUG,1,1,1.34,1.2,6,11,2,1,0,0,0,0,0.54,0.497373005375335,0.389669429205849,0.517567523755997,0.446569169145241,0.745935433683392,0.719933163806639,0.0096411649249535,0.247747526967967,0.689655172413793,0.793103448275862,0.965141612200435,0.928104575163398,0.743417366946779,0.801120448179272,0.305860805860806,0.271978021978022,0.289391349271685,0.733429606556675,0.441176470588235,0.205882352941176,0.528571428571429,0.0357142857142857,0.625,0.854166666666667
12,game_2023_12,TUC,BOI,1,5,1.06,2.09,17,14,7,7,0,0,1,1,0.53,0.330244762022986,0.383718314944547,0.585087427873677,0.831697135513398,0.498261064597546,0.320423927403879,0.358889114595143,0.694304221825842,0.344827586206897,0.448275862068966,0.440087145969498,0.366013071895425,0.290196078431373,0.814005602240896,0.566849816849817,0.155677655677656,0.559226708083404,0.050581028680159,1.0,0.352941176470588,0.621428571428571,0.571428571428571,0.0208333333333333,0.541666666666667
13,game_2023_13,LRO,TAC,1,1,2.17,0.23,13,5,8,5,0,0,0,1,0.44,0.712425083514106,0.0531921335542789,0.737740776520077,0.358690191147554,0.704442482155434,0.449783007144655,0.148860795196459,0.345131313424925,0.689655172413793,0.379310344827586,1.0,0.516339869281046,0.970868347338936,0.0577030812324929,0.254120879120879,0.724816849816851,0.195066855804243,0.489138676077906,0.0294117647058823,0.852941176470588,0.557142857142857,0.935714285714286,0.916666666666667,0.145833333333333
14,game_2023_14,ANC,LRO,1,0,1.74,1.0,17,9,4,5,0,0,0,0,0.36,0.469224306597343,0.712425083514106,0.736454473708852,0.737740776520077,0.481491009656465,0.704442482155434,0.7266495916312,0.148860795196459,0.724137931034483,0.689655172413793,0.400871459694989,1.0,0.92717086834734,0.970868347338936,0.167582417582417,0.254120879120879,0.384319798628673,0.195066855804243,0.088235294117647,0.0294117647058823,0.207142857142857,0.557142857142857,0.895833333333333,0.916666666666667
15,game_2023_15,WIC,CHM,1,1,1.29,0.91,16,11,13,4,0,0,0,0,0.46,0.0665497054933212,0.0,0.718898632367245,0.806760390053371,0.123380488508384,0.0,0.122191472985314,0.384932177530867,0.103448275862069,0.0344827586206896,0.954248366013071,0.67755991285403,0.220728291316526,0.2593837535014,1.0,0.496336996336996,1.0,0.446709634694757,0.705882352941177,0.0294117647058823,0.75,0.642857142857143,0.0833333333333333,0.520833333333333
16,game_2023_16,LAR,SAS,2,1,1.88,0.32,18,3,3,2,0,0,0,0,0.48,0.405192109985864,0.121748313236144,0.518452627777258,0.436144021577213,0.64865755137818,0.439138528678609,0.305302378740333,0.546453040500561,0.517241379310345,0.551724137931035,0.577342047930282,0.494553376906319,0.456022408963586,0.473949579831933,0.0068681318681318,0.133699633699634,0.0,0.0427675398948521,0.382352941176471,0.235294117647059,0.371428571428571,0.542857142857143,0.5625,0.6875
17,game_2023_17,LEX,SJU,0,0,0.49,0.28,12,9,3,5,0,0,0,0,0.49,0.294203728647082,0.249700841341583,0.725373218884525,0.905336841357923,0.329672883333663,0.148691448574762,0.809037778033173,0.380988633170811,0.413793103448276,0.0,0.200435729847494,0.285403050108932,0.503641456582633,0.174229691876751,0.649267399267399,0.643315018315019,0.386439854389985,0.908708681025879,0.147058823529412,0.735294117647059,0.95,0.378571428571429,0.666666666666667,0.0
