n,game_id,HomeTeam,AwayTeam,HomeScore,AwayScore,Home_xG,Away_xG,Home_shots,Away_shots,Home_corner,Away_corner,Home_PK_Goal,Away_PK_Goal,Home_PK_shots,Away_PK_shots,Home_ToP,home_totalGoals,away_totalGoals,home_totalGoalsC,away_totalGoalsC,home_totalPossession,away_totalPossession,home_totalxG,away_totalxG,home_totalxGC,away_totalxGC,home_StGConversion,away_StGConversion,home_shotQuality,away_shotQuality,home_efficiency,away_efficiency,home_qualityP,away_qualityP,home_defQuality,away_defQuality,home_score,away_score,home_shotsConceded,away_shotsConceded,home_goalDifferential,away_goalDifferential
1,game_2023_1,PRO,MAN,1,1,1.63,0.34,17,8,5,4,0,0,0,0,0.53,0.7916666666666666,0.0909090909090909,0.4761904761904761,0.5454545454545454,0.3038461538461538,0.446428571428571,0.3145990404386566,0.3349514563106794,0.5223404255319151,0.1916445623342176,0.6691146718152569,0.073501791073676,0.157888178728326,0.3254403496647175,0.1967262314761971,1.0,0.6344002695276426,0.2865270194886933,0.2959332663124132,0.377454627650056,0.5,0.1739130434782608,0.8,0.6288659793814433,0.8260869565217391,0.2857142857142857
2,game_2023_2,FOR,LEX,1,0,0.98,0.9,9,11,5,2,0,0,0,0,0.57,0.625,0.4090909090909091,0.7619047619047619,0.4545454545454545,1.0,0.1964285714285718,0.8087731322823848,0.6563106796116506,0.5085106382978727,0.8587533156498681,0.6238745913043764,0.3007890154838457,1.0,0.6141883764276719,0.6629307460689193,0.7971780745907815,0.2067597406128083,0.6748027563837454,0.5172091283202394,0.2065929141111932,0.5416666666666666,0.5217391304347826,0.8625,1.0,0.391304347826087,0.5428571428571428
3,game_2023_3,SJU,DES,1,2,1.23,1.11,16,9,6,7,0,0,0,0,0.47,0.4166666666666667,0.6363636363636364,0.6666666666666666,0.2272727272727272,0.3384615384615383,0.6714285714285717,0.4708704592186429,0.6252427184466023,0.7287234042553191,0.2102122015915116,0.5112712888771792,0.4952362607016715,0.6282727181981038,0.4402827892694617,0.5776848444295752,0.2642010678473764,0.404135184573795,0.3164833226316897,0.5819464070759408,0.1553291637113934,0.125,0.8260869565217391,0.575,0.5567010309278351,0.2608695652173913,0.8285714285714286
4,game_2023_4,FAR,ANC,0,1,2.27,1.08,4,14,8,3,0,0,0,0,0.51,0.8333333333333334,1.0,0.3809523809523809,0.5454545454545454,0.7692307692307687,0.5142857142857142,0.934201507882111,0.5553398058252428,0.3031914893617022,0.3421750663129975,0.7886919505021088,0.7308605696126841,0.9831427531539106,0.4358843636451533,0.5063566410170625,0.0,0.5342350339478429,0.4667064891024117,0.4125918273645546,0.5913180187035744,0.7916666666666666,0.8695652173913043,0.3625,0.1134020618556701,0.9565217391304348,0.8571428571428571
5,game_2023_5,DOV,BAK,0,0,1.9,0.56,17,6,5,3,0,0,0,0,0.53,0.75,0.4090909090909091,0.3333333333333333,0.5909090909090909,0.2423076923076922,0.2357142857142858,0.7100753941055512,0.4019417475728155,0.071276595744681,0.4774535809018569,0.5536359419148966,0.4218038304488219,0.4467381830988529,0.4761412942560885,0.4334073420724472,0.4090840632555191,0.9276615323956536,0.4707624946752772,0.5910207517350375,0.3804438937279056,0.5,0.3478260869565217,0.0,0.7216494845360825,0.9130434782608696,0.4571428571428571
6,game_2023_6,ALB,LAR,1,1,0.62,0.78,11,17,9,4,0,0,0,0,0.54,0.4166666666666667,0.7727272727272727,0.7142857142857143,0.7272727272727273,0.4269230769230769,0.5714285714285714,0.0,0.4980582524271842,0.8382978723404252,0.0941644562334216,0.6017898394580008,1.0,0.2326153643649114,0.9359910096742716,0.2788892606222817,0.1436410150851295,0.2934179856711538,0.1383761159627161,0.5444752402069475,0.6348491198658845,0.1666666666666666,1.0,0.725,0.3505154639175257,0.217391304347826,0.6
7,game_2023_7,SAS,MOB,0,0,0.75,0.38,14,12,7,6,0,0,0,0,0.44,0.3333333333333333,0.3181818181818182,0.0476190476190476,0.4090909090909091,0.5038461538461536,0.6035714285714285,0.319396847155586,0.3504854368932037,0.0,0.7075596816976129,0.3032039944950022,0.322720855932833,0.1779443166598392,0.4848724485695825,0.5293321890409765,0.5936189608021879,0.6228413375164797,0.2787305615030144,0.0693646232439336,0.1860266268954633,0.625,0.6521739130434783,0.3375,0.9587628865979382,0.7391304347826086,0.5142857142857142
8,game_2023_8,CHM,EUG,0,0,1.54,1.18,11,3,8,0,0,0,0,0,0.57,0.0,0.5,0.1428571428571428,0.5909090909090909,0.6846153846153846,0.1464285714285716,0.3029472241261136,0.3213592233009708,0.7510638297872337,0.6253315649867374,0.0,0.5101057559242113,0.0409276002805394,0.4708903902633581,1.0,0.2750774840474022,0.5208575199232832,0.5230795892073825,0.1237304741403102,0.4339586283974526,0.2083333333333333,0.391304347826087,0.45,0.5670103092783505,0.3043478260869565,0.5142857142857142
9,game_2023_9,TOL,JAC,1,2,1.2,1.2,17,20,6,4,0,0,0,0,0.49,0.7083333333333334,0.5454545454545454,0.4285714285714285,0.0,0.7423076923076923,0.7821428571428569,0.2919808087731319,0.6456310679611651,0.58936170212766,0.0901856763925729,0.6091448062526814,0.3629358801318958,0.0966828277890272,0.5855351274379784,0.202042907326865,0.6343454175724005,0.4846942844922601,0.3546674079656722,0.2488981799123309,0.0,0.5416666666666666,1.0,0.8125,0.4536082474226804,0.782608695652174,0.9142857142857144
10,game_2023_10,REN,OAK,1,1,0.7,0.17,7,7,4,6,0,0,0,0,0.57,0.3333333333333333,0.4090909090909091,0.3809523809523809,0.0454545454545454,0.78076923076923,0.217857142857143,0.3351610692254969,0.4407766990291263,0.0127659574468086,0.0,0.3153017181018412,0.2961784107003302,0.1119423266802073,0.4015459777408013,0.4664567181113357,0.5437755142483457,0.4313149798588778,0.6240828605913986,0.4057524396507447,0.0742094844037024,0.3333333333333333,0.8260869565217391,0.375,0.2989690721649484,0.4347826086956521,0.8
